ID,Title,Author,Price ($),Stock
16475,To Kill a Mockingbird [Illyustrirovannoe podarochnoe],Harper Lee,7.92,21
16476,Zavodnoy apelsin [Illyustrirovannoe podarochnoe],Entoni Byordzhess,7.06,36
16477,Proletaya nad gnezdom kukushki [Illyustrirovannoe podarochnoe],Ken Kizi,8.09,33
16478,Boynya nomer pyat [Illyustrirovannoe podarochnoe],Kurt Vonnegut,7.06,77
16479,Kolybel dlya koshki [Illyustrirovannoe podarochnoe],Kurt Vonnegut,6.89,96
16480,One Hundred Years of Solitude [Illyustrirovannoe podarochnoe],Gabriel Garcia Marquez,9.13,13
16481,Lyubov vo vremya chumy [Illyustrirovannoe podarochnoe],Gabriel Garcia Marquez,8.78,29
16482,Khronika obyavlennoy smerti [Illyustrirovannoe podarochnoe],Gabriel Garcia Marquez,5.86,85
16483,Igra v klassiki [Illyustrirovannoe podarochnoe],Khulio Kortasar,9.64,35
16484,Vymysly [Illyustrirovannoe podarochnoe],Khorkhe Luis Borkhes,7.23,18
16485,Alef [Illyustrirovannoe podarochnoe],Khorkhe Luis Borkhes,7.06,12
16486,Pedofil (Lolita) [Illyustrirovannoe podarochnoe],Vladimir Nabokov,8.44,26
16487,Zashchita Luzhina [Illyustrirovannoe podarochnoe],Vladimir Nabokov,7.41,70
16488,Priglashenie na kazn [Illyustrirovannoe podarochnoe],Vladimir Nabokov,7.23,65
16489,"Khobbit, ili Tuda i obratno [Illyustrirovannoe podarochnoe]",Dzh. R. R. Tolkin,7.75,96
16490,Vlastelin kolets: Bratstvo Koltsa [Illyustrirovannoe podarochnoe],Dzh. R. R. Tolkin,10.68,21
16491,Vlastelin kolets: Dve kreposti [Illyustrirovannoe podarochnoe],Dzh. R. R. Tolkin,10.68,3
16492,Vlastelin kolets: Vozvrashchenie korolya [Illyustrirovannoe podarochnoe],Dzh. R. R. Tolkin,11.19,76
16493,Silmarillion [Illyustrirovannoe podarochnoe],Dzh. R. R. Tolkin,9.99,5
16494,"Khroniki Narnii: Lev, koldunya i platyanoy shkaf [Illyustrirovannoe podarochnoe]",K. S. Lyuis,6.72,69
16495,Dyuna [Illyustrirovannoe podarochnoe],Frenk Gerbert,11.71,68
16496,Messiya Dyuny [Illyustrirovannoe podarochnoe],Frenk Gerbert,8.96,24
16497,Deti Dyuny [Illyustrirovannoe podarochnoe],Frenk Gerbert,9.47,0
16498,Osnovanie [Illyustrirovannoe podarochnoe],Ayzek Azimov,8.27,62
16499,"Ya, Robot [Illyustrirovannoe podarochnoe]",Ayzek Azimov,7.23,3
16500,Solyaris [Illyustrirovannoe podarochnoe],Stanislav Lem,7.41,47
16501,Nepobedimyy [Illyustrirovannoe podarochnoe],Stanislav Lem,7.06,26
16502,Piknik na obochine [Illyustrirovannoe podarochnoe],Arkadiy i Boris Strugatskie,7.23,36
16503,Trudno byt bogom [Illyustrirovannoe podarochnoe],Arkadiy i Boris Strugatskie,6.72,73
16504,Ponedelnik nachinaetsya v subbotu [Illyustrirovannoe podarochnoe],Arkadiy i Boris Strugatskie,7.06,54
16505,Obitaemyy ostrov [Illyustrirovannoe podarochnoe],Arkadiy i Boris Strugatskie,7.92,93
16506,Avtostopom po galaktike [Illyustrirovannoe podarochnoe],Duglas Adams,6.54,56
16507,Neyromant [Illyustrirovannoe podarochnoe],Uilyam Gibson,7.75,66
16508,Mechtayut li androidy ob elektroovtsakh? [Illyustrirovannoe podarochnoe],Filip K. Dik,7.23,16
16509,Chelovek v vysokom zamke [Illyustrirovannoe podarochnoe],Filip K. Dik,7.58,58
16510,Garri Potter i filosofskiy kamen [Illyustrirovannoe podarochnoe],Dzh. K. Rouling,9.47,37
16511,Garri Potter i Taynaya komnata [Illyustrirovannoe podarochnoe],Dzh. K. Rouling,9.64,14
16512,Garri Potter i uznik Azkabana [Illyustrirovannoe podarochnoe],Dzh. K. Rouling,9.99,91
16513,Garri Potter i Kubok ognya [Illyustrirovannoe podarochnoe],Dzh. K. Rouling,11.88,90
16514,Garri Potter i Orden Feniksa [Illyustrirovannoe podarochnoe],Dzh. K. Rouling,12.92,15
16515,Garri Potter i Prints-polukrovka [Illyustrirovannoe podarochnoe],Dzh. K. Rouling,12.23,56
16516,Garri Potter i Dary Smerti [Illyustrirovannoe podarochnoe],Dzh. K. Rouling,13.43,55
16517,Igra prestolov [Illyustrirovannoe podarochnoe],Dzhordzh R. R. Martin,12.40,63
16518,Bitva koroley [Illyustrirovannoe podarochnoe],Dzhordzh R. R. Martin,12.74,33
16519,Burya mechey [Illyustrirovannoe podarochnoe],Dzhordzh R. R. Martin,13.95,11
16520,Pir stervyatnikov [Illyustrirovannoe podarochnoe],Dzhordzh R. R. Martin,13.43,17
16521,Tanets s drakonami [Illyustrirovannoe podarochnoe],Dzhordzh R. R. Martin,14.64,35
16522,Vedmak: Poslednee zhelanie [Illyustrirovannoe podarochnoe],Andzhey Sapkovskiy,8.27,93
16523,Vedmak: Mech Prednaznacheniya [Illyustrirovannoe podarochnoe],Andzhey Sapkovskiy,8.44,85
16524,Vedmak: Krov elfov [Illyustrirovannoe podarochnoe],Andzhey Sapkovskiy,8.78,14
16525,Kladbishche domashnikh zhivotnykh [Illyustrirovannoe podarochnoe],Stiven King,8.96,45
16526,Siyanie [Illyustrirovannoe podarochnoe],Stiven King,9.47,10
16527,Ono [Illyustrirovannoe podarochnoe],Stiven King,15.33,95
16528,Temnaya bashnya: Strelok [Illyustrirovannoe podarochnoe],Stiven King,8.27,28
16529,Zelenaya milya [Illyustrirovannoe podarochnoe],Stiven King,8.78,93
16530,11/22/63 [Illyustrirovannoe podarochnoe],Stiven King,13.61,9
16531,Kod da Vinchi [Illyustrirovannoe podarochnoe],Den Braun,8.44,41
16532,Angely i demony [Illyustrirovannoe podarochnoe],Den Braun,8.27,20
16533,Inferno [Illyustrirovannoe podarochnoe],Den Braun,8.96,64
16534,Alkhimik [Illyustrirovannoe podarochnoe],Paulo Koelo,6.54,42
16535,Ten vetra [Illyustrirovannoe podarochnoe],Karlos Ruis Safon,9.30,35
16536,Tsvety dlya Eldzhernona [Illyustrirovannoe podarochnoe],Deniel Kiz,7.75,58
16537,Mnozhestvennye umy Billi Milligana [Illyustrirovannoe podarochnoe],Deniel Kiz,8.78,80
16538,Shantaram [Illyustrirovannoe podarochnoe],Gregori Devid Roberts,13.43,94
16539,"Esh, molis, lyubi [Illyustrirovannoe podarochnoe]",Elizabet Gilbert,7.58,65
16540,Begushchiy za vetrom [Illyustrirovannoe podarochnoe],Khaled Khosseyni,8.44,86
16541,Tysyacha siyayushchikh solntsa [Illyustrirovannoe podarochnoe],Khaled Khosseyni,8.78,99
16542,Oblachnyy atlas [Illyustrirovannoe podarochnoe],Devid Mitchell,9.64,9
16543,Zadacha trekh tel [Illyustrirovannoe podarochnoe],Lyu Tsysin,10.16,90
16544,Tyomnyy les [Illyustrirovannoe podarochnoe],Lyu Tsysin,10.68,88
16545,Vechnaya zhizn Smerti [Illyustrirovannoe podarochnoe],Lyu Tsysin,11.71,40
16546,Klara i Solntse [Illyustrirovannoe podarochnoe],Kadzuo Isiguro,8.96,4
16547,Ne otpuskay menya [Illyustrirovannoe podarochnoe],Kadzuo Isiguro,8.27,55
16548,Ostatok dnya [Illyustrirovannoe podarochnoe],Kadzuo Isiguro,8.09,12
16549,Okhota na ovets [Illyustrirovannoe podarochnoe],Kharuki Murakami,8.44,90
16550,Norvezhskiy les [Illyustrirovannoe podarochnoe],Kharuki Murakami,8.27,66
16551,Kafka na plyazhe [Illyustrirovannoe podarochnoe],Kharuki Murakami,9.47,40
16552,1Q84 [Illyustrirovannoe podarochnoe],Kharuki Murakami,12.40,24
16553,S.N.U.F.F. [Illyustrirovannoe podarochnoe],Viktor Pelevin,8.78,71
16554,Generation «P» [Illyustrirovannoe podarochnoe],Viktor Pelevin,7.92,84
16555,Chapaev i Pustota [Illyustrirovannoe podarochnoe],Viktor Pelevin,8.27,80
16556,Lavr [Illyustrirovannoe podarochnoe],Evgeniy Vodolazkin,9.13,4
16557,Aviator [Illyustrirovannoe podarochnoe],Evgeniy Vodolazkin,8.78,81
16558,Zuleykha otkryvaet glaza [Illyustrirovannoe podarochnoe],Guzel Yakhina,8.96,80
16559,Deti moi [Illyustrirovannoe podarochnoe],Guzel Yakhina,9.30,1
16560,Eshelon na Samarkand [Illyustrirovannoe podarochnoe],Guzel Yakhina,9.47,31
16561,The Bible [Podarochnoe izdanie],Holy Scripture,21.33,17
16562,Epic of Gilgamesh [Podarochnoe izdanie],Unknown,8.00,75
16563,Iliad [Podarochnoe izdanie],Homer,9.78,48
16564,Odyssey [Podarochnoe izdanie],Homer,9.96,28
16565,Mahabharata [Podarochnoe izdanie],Vyasa,26.67,86
16566,Ramayana [Podarochnoe izdanie],Valmiki,15.11,25
16567,Tao Te Ching [Podarochnoe izdanie],Laozi,6.76,33
16568,The Art of War [Podarochnoe izdanie],Sun Tzu,6.22,60
16569,The Republic [Podarochnoe izdanie],Plato,8.53,19
16570,Poetics [Podarochnoe izdanie],Aristotle,7.47,62
16571,Nicomachean Ethics [Podarochnoe izdanie],Aristotle,8.71,23
16572,Aeneid [Podarochnoe izdanie],Virgil,9.07,93
16573,Metamorphoses [Podarochnoe izdanie],Ovid,9.42,63
16574,Meditations [Podarochnoe izdanie],Marcus Aurelius,6.93,36
16575,Commentaries on the Gallic War [Podarochnoe izdanie],Julius Caesar,7.82,16
16576,Annals [Podarochnoe izdanie],Tacitus,10.67,25
16577,Confessions [Podarochnoe izdanie],Augustine of Hippo,8.36,81
16578,The City of God [Podarochnoe izdanie],Augustine of Hippo,15.82,11
16579,Shahnameh [Podarochnoe izdanie],Ferdowsi,19.56,66
16580,Primary Chronicle [Podarochnoe izdanie],Nestor the Chronicler,9.24,92
16581,Slovo o polku Igoreve [Podarochnoe izdanie],Unknown,5.33,95
16582,The Divine Comedy [Podarochnoe izdanie],Dante Alighieri,13.33,27
16583,Dekameron [Podarochnoe izdanie],Dzhovanni Bokkachcho,12.09,0
16584,Kenterberiyskie rasskazy [Podarochnoe izdanie],Dzheffri Choser,11.02,55
16585,Pokhvala gluposti [Podarochnoe izdanie],Erazm Rotterdamskiy,7.29,8
16586,Gosudar [Podarochnoe izdanie],Nikkolo Makiavelli,6.76,62
16587,Utopiya [Podarochnoe izdanie],Tomas Mor,6.40,71
16588,Gargantyua i Pantagryuel [Podarochnoe izdanie],Fransua Rable,14.04,78
16589,Opyty [Podarochnoe izdanie],Mishel de Monten,15.11,26
16590,Don Kikhot [Podarochnoe izdanie],Migel de Servantes,15.82,90
16591,Hamlet [Podarochnoe izdanie],William Shakespeare,6.22,22
16592,Romeo i Dzhuletta [Podarochnoe izdanie],William Shakespeare,5.69,4
16593,Makbet [Podarochnoe izdanie],William Shakespeare,5.87,53
16594,Korol Lir [Podarochnoe izdanie],William Shakespeare,6.04,88
16595,Otello [Podarochnoe izdanie],William Shakespeare,5.87,33
16596,Sonety [Podarochnoe izdanie],William Shakespeare,5.16,78
16597,Poteryannyy ray [Podarochnoe izdanie],Dzhon Milton,10.31,48
16598,Zhizn est son [Podarochnoe izdanie],Pedro Kalderon,6.58,80
16599,Tartyuf [Podarochnoe izdanie],Moler,5.51,74
16600,Meshchanin vo dvoryanstve [Podarochnoe izdanie],Moler,5.33,30
16601,Mysli [Podarochnoe izdanie],Blez Paskal,8.18,81
16602,Priklyucheniya Robinzona Kruzo [Podarochnoe izdanie],Daniel Defo,8.00,44
16603,Puteshestviya Gullivera [Podarochnoe izdanie],Dzhonatan Svift,8.53,61
16604,"Zadig, ili Sudba [Podarochnoe izdanie]",Volter,6.22,67
16605,"Kandid, ili Optimizm [Podarochnoe izdanie]",Volter,6.04,84
16606,Obshchestvennyy dogovor [Podarochnoe izdanie],Zhan-Zhak Russo,7.47,23
16607,Confessions [Podarochnoe izdanie],Zhan-Zhak Russo,9.78,38
16608,Issledovanie o prirode i prichinakh bogatstva narodov [Podarochnoe izdanie],Adam Smit,17.42,29
16609,Kritika chistogo razuma [Podarochnoe izdanie],Immanuil Kant,16.36,37
16610,Stradaniya molodogo Vertera [Podarochnoe izdanie],Iogann Volfgang fon Gyote,6.76,85
16611,Faust [Podarochnoe izdanie],Iogann Volfgang fon Gyote,11.56,62
16612,Razboyniki [Podarochnoe izdanie],Fridrikh Shiller,6.40,62
16613,Puteshestvie iz Peterburga v Moskvu [Podarochnoe izdanie],Aleksandr Radishchev,6.93,80
16614,Eugene Onegin [Podarochnoe izdanie],Alexander Pushkin,7.11,50
16615,Kapitanskaya dochka [Podarochnoe izdanie],Alexander Pushkin,6.22,76
16616,Pikovaya dama [Podarochnoe izdanie],Alexander Pushkin,4.98,45
16617,Mednyy vsadnik [Podarochnoe izdanie],Alexander Pushkin,4.44,69
16618,Boris Godunov [Podarochnoe izdanie],Alexander Pushkin,5.69,61
16619,Geroy nashego vremeni [Podarochnoe izdanie],Mikhail Lermontov,6.76,37
16620,Mtsyri [Podarochnoe izdanie],Mikhail Lermontov,4.80,12
16621,Demon [Podarochnoe izdanie],Mikhail Lermontov,4.62,28
16622,Revizor [Podarochnoe izdanie],Nikolai Gogol,6.22,14
16623,Dead Souls [Podarochnoe izdanie],Nikolai Gogol,8.53,96
16624,Shinel [Podarochnoe izdanie],Nikolai Gogol,5.16,97
16625,Taras Bulba [Podarochnoe izdanie],Nikolai Gogol,6.04,36
16626,Fathers and Sons [Podarochnoe izdanie],Ivan Turgenev,7.47,53
16627,Zapiski okhotnika [Podarochnoe izdanie],Ivan Turgenev,8.00,57
16628,Dvoryanskoe gnezdo [Podarochnoe izdanie],Ivan Turgenev,6.93,41
16629,Oblomov [Podarochnoe izdanie],Ivan Goncharov,9.24,31
16630,Crime and Punishment [Podarochnoe izdanie],Fyodor Dostoevsky,10.31,84
16631,Idiot [Podarochnoe izdanie],Fyodor Dostoevsky,11.02,54
16632,Bratya Karamazovy [Podarochnoe izdanie],Fyodor Dostoevsky,13.33,14
16633,Besy [Podarochnoe izdanie],Fyodor Dostoevsky,12.09,22
16634,Zapiski iz podpolya [Podarochnoe izdanie],Fyodor Dostoevsky,6.76,59
16635,Igrok [Podarochnoe izdanie],Fyodor Dostoevsky,6.40,40
16636,War and Peace [Podarochnoe izdanie],Leo Tolstoy,21.33,84
16637,Anna Karenina [Podarochnoe izdanie],Leo Tolstoy,13.87,14
16638,Voskresenie [Podarochnoe izdanie],Leo Tolstoy,9.78,44
16639,Smert Ivana Ilicha [Podarochnoe izdanie],Leo Tolstoy,5.51,89
16640,Kreytserova sonata [Podarochnoe izdanie],Leo Tolstoy,5.69,50
16641,Groza [Podarochnoe izdanie],Aleksandr Ostrovskiy,5.69,90
16642,Bespridannitsa [Podarochnoe izdanie],Aleksandr Ostrovskiy,5.87,16
16643,Levsha [Podarochnoe izdanie],Nikolay Leskov,5.16,99
16644,Ocharovannyy strannik [Podarochnoe izdanie],Nikolay Leskov,6.04,61
16645,Komu na Rusi zhit khorosho [Podarochnoe izdanie],Nikolay Nekrasov,6.76,62
16646,Palata № 6 [Podarochnoe izdanie],Anton Chekhov,5.51,76
16647,Vishnevyy sad [Podarochnoe izdanie],Anton Chekhov,5.87,52
16648,Chayka [Podarochnoe izdanie],Anton Chekhov,5.69,87
16649,Dyadya Vanya [Podarochnoe izdanie],Anton Chekhov,5.51,30
16650,Tri sestry [Podarochnoe izdanie],Anton Chekhov,5.69,3
16651,Dama s sobachkoy [Podarochnoe izdanie],Anton Chekhov,5.16,37
16652,Pride and Prejudice [Podarochnoe izdanie],Jane Austen,8.00,34
16653,Razum i chuvstva [Podarochnoe izdanie],Jane Austen,7.82,64
16654,Frankenshteyn [Podarochnoe izdanie],Meri Shelli,7.47,27
16655,"Frankenshteyn, ili Sovremennyy Prometey [Podarochnoe izdanie]",Meri Shelli,7.64,100
16656,Ayvengo [Podarochnoe izdanie],Valter Skott,8.71,52
16657,Krasnoe i chernoe [Podarochnoe izdanie],Stendal,9.96,7
16658,Parmskaya obitel [Podarochnoe izdanie],Stendal,10.31,71
16659,Otets Gorio [Podarochnoe izdanie],Onore de Balzak,8.53,98
16660,Evgeniya Grande [Podarochnoe izdanie],Onore de Balzak,8.00,41
16661,The Count of Monte Cristo [Podarochnoe izdanie],Alexandre Dumas,15.82,33
16662,Tri mushketera [Podarochnoe izdanie],Alexandre Dumas,11.56,86
16663,Dvadtsat let spustya [Podarochnoe izdanie],Alexandre Dumas,11.91,40
16664,Sobor Parizhskoy Bogomateri [Podarochnoe izdanie],Victor Hugo,10.31,52
16665,Les Miserables [Podarochnoe izdanie],Victor Hugo,16.89,50
16666,"Chelovek, kotoryy smeetsya [Podarochnoe izdanie]",Victor Hugo,10.49,56
16667,Dzheyn Eyr [Podarochnoe izdanie],Sharlotta Bronte,8.53,54
16668,Grozovoy pereval [Podarochnoe izdanie],Emili Bronte,8.36,51
16669,Yarmarka tshcheslaviya [Podarochnoe izdanie],Uilyam Tekkerey,12.27,33
16670,Oliver Twist [Podarochnoe izdanie],Charles Dickens,8.71,6
16671,David Kopperfild [Podarochnoe izdanie],Charles Dickens,12.09,34
16672,Povest o dvukh gorodakh [Podarochnoe izdanie],Charles Dickens,9.07,62
16673,Bolshie nadezhdy [Podarochnoe izdanie],Charles Dickens,9.24,93
16674,Rozhdestvenskaya pesnya [Podarochnoe izdanie],Charles Dickens,5.69,28
16675,Moby-Dick [Podarochnoe izdanie],Herman Melville,10.84,43
16676,Madam Bovari [Podarochnoe izdanie],Gyustav Flober,8.71,81
16677,Prestuplenie abbata Mure [Podarochnoe izdanie],Emil Zolya,8.18,5
16678,Zherminal [Podarochnoe izdanie],Emil Zolya,9.42,39
16679,Zapadnya [Podarochnoe izdanie],Emil Zolya,9.07,57
16680,The Picture of Dorian Gray [Podarochnoe izdanie],Oscar Wilde,7.47,52
16681,Kak vazhno byt sereznym [Podarochnoe izdanie],Oscar Wilde,5.51,28
16682,The Adventures of Tom Sawyer [Podarochnoe izdanie],Mark Twain,6.93,73
16683,Priklyucheniya Geklberri Finna [Podarochnoe izdanie],Mark Twain,7.29,21
16684,Yanki iz Konnektikuta pri dvore korolya Artura [Podarochnoe izdanie],Mark Twain,7.64,68
16685,Drakula [Podarochnoe izdanie],Brem Stoker,8.53,26
16686,Mashina vremeni [Podarochnoe izdanie],Gerbert Uells,6.40,99
16687,Chelovek-nevidimka [Podarochnoe izdanie],Gerbert Uells,6.58,80
16688,Voyna mirov [Podarochnoe izdanie],Gerbert Uells,6.93,14
16689,Etyud v bagrovykh tonakh [Podarochnoe izdanie],Arthur Conan Doyle,6.22,78
16690,Sobaka Baskerviley [Podarochnoe izdanie],Arthur Conan Doyle,6.76,78
16691,The Adventures of Sherlock Holmes [Podarochnoe izdanie],Arthur Conan Doyle,8.71,42
16692,Martin Iden [Podarochnoe izdanie],Dzhek London,8.53,16
16693,Zov predkov [Podarochnoe izdanie],Dzhek London,6.04,77
16694,Belyy Klyk [Podarochnoe izdanie],Dzhek London,6.40,69
16695,Uliss [Podarochnoe izdanie],Dzheyms Dzhoys,15.11,2
16696,Dublintsy [Podarochnoe izdanie],Dzheyms Dzhoys,7.29,92
16697,Portret khudozhnika v yunosti [Podarochnoe izdanie],Dzheyms Dzhoys,8.18,2
16698,Protsess [Podarochnoe izdanie],Franz Kafka,7.64,48
16699,Zamok [Podarochnoe izdanie],Franz Kafka,8.00,11
16700,The Metamorphosis [Podarochnoe izdanie],Franz Kafka,5.69,99
16701,V poiskakh utrachennogo vremeni [Podarochnoe izdanie],Marsel Prust,24.89,90
16702,Volshebnaya gora [Podarochnoe izdanie],Tomas Mann,13.87,42
16703,Buddenbroki [Podarochnoe izdanie],Tomas Mann,12.80,45
16704,Smert v Venetsii [Podarochnoe izdanie],Tomas Mann,5.87,98
16705,Stepnoy volk [Podarochnoe izdanie],German Gesse,7.82,98
16706,Igra v biser [Podarochnoe izdanie],German Gesse,10.49,70
16707,Siddkhartkha [Podarochnoe izdanie],German Gesse,6.22,8
16708,The Great Gatsby [Podarochnoe izdanie],Frensis Skott Fitsdzherald,7.29,83
16709,Noch nezhna [Podarochnoe izdanie],Frensis Skott Fitsdzherald,8.18,6
16710,"Proshchay, oruzhie! [Podarochnoe izdanie]",Ernest Hemingway,7.82,66
16711,Po komu zvonit kolokol [Podarochnoe izdanie],Ernest Hemingway,9.60,26
16712,Starik i more [Podarochnoe izdanie],Ernest Hemingway,6.22,46
16713,A Moveable Feast [Podarochnoe izdanie],Ernest Hemingway,7.29,68
16714,The Sound and the Fury [Podarochnoe izdanie],William Faulkner,8.71,25
16715,As I Lay Dying [Podarochnoe izdanie],William Faulkner,7.64,20
16716,On the Road [Podarochnoe izdanie],John Steinbeck,7.47,68
16717,The Grapes of Wrath [Podarochnoe izdanie],John Steinbeck,10.31,50
16718,Of Mice and Men [Podarochnoe izdanie],John Steinbeck,5.87,91
16719,All Quiet on the Western Front [Podarochnoe izdanie],Erich Maria Remarque,8.00,29
16720,Three Comrades [Podarochnoe izdanie],Erich Maria Remarque,8.71,37
16721,Arch of Triumph [Podarochnoe izdanie],Erich Maria Remarque,9.24,20
16722,The Black Obelisk [Podarochnoe izdanie],Erich Maria Remarque,9.07,47
16723,Heaven Has No Favorites [Podarochnoe izdanie],Erich Maria Remarque,8.18,42
16724,The Master and Margarita [Podarochnoe izdanie],Mikhail Bulgakov,9.78,52
16725,Heart of a Dog [Podarochnoe izdanie],Mikhail Bulgakov,6.22,27
16726,The White Guard [Podarochnoe izdanie],Mikhail Bulgakov,7.64,70
16727,The Fatal Eggs [Podarochnoe izdanie],Mikhail Bulgakov,5.51,93
16728,And Quiet Flows the Don [Podarochnoe izdanie],Mikhail Sholokhov,17.42,31
16729,Fate of a Man [Podarochnoe izdanie],Mikhail Sholokhov,5.33,1
16730,Doctor Zhivago [Podarochnoe izdanie],Boris Pasternak,11.02,4
16731,We [Podarochnoe izdanie],Yevgeny Zamyatin,6.93,2
16732,The Twelve Chairs [Podarochnoe izdanie],"Ilya Ilf, Yevgeny Petrov",8.53,96
16733,Zolotoy telenok [Podarochnoe izdanie],"Ilya Ilf, Yevgeny Petrov",8.71,67
16734,Kotlovan [Podarochnoe izdanie],Andrey Platonov,6.76,13
16735,Chevengur [Podarochnoe izdanie],Andrey Platonov,9.24,64
16736,Odin den Ivana Denisovicha [Podarochnoe izdanie],Aleksandr Solzhenitsyn,6.22,50
16737,Arkhipelag GULAG [Podarochnoe izdanie],Aleksandr Solzhenitsyn,19.56,62
16738,Rakovyy korpus [Podarochnoe izdanie],Aleksandr Solzhenitsyn,10.31,5
16739,Moskva — Petushki [Podarochnoe izdanie],Venedikt Erofeev,6.40,20
16740,Zapovednik [Podarochnoe izdanie],Sergey Dovlatov,6.58,36
16741,Chemodan [Podarochnoe izdanie],Sergey Dovlatov,6.22,38
16742,Solo na undervude [Podarochnoe izdanie],Sergey Dovlatov,5.69,3
16743,1984 [Podarochnoe izdanie],George Orwell,7.47,29
16744,Skotnyy dvor [Podarochnoe izdanie],George Orwell,5.51,80
16745,Brave New World [Podarochnoe izdanie],Aldous Huxley,7.64,98
16746,451 gradus po Farengeytu [Podarochnoe izdanie],Ray Bradbury,7.29,88
16747,Marsianskie khroniki [Podarochnoe izdanie],Ray Bradbury,7.82,31
16748,Vino iz oduvanchikov [Podarochnoe izdanie],Ray Bradbury,7.47,4
16749,The Catcher in the Rye [Podarochnoe izdanie],Dzh. D. Selindzher,6.93,34
16750,Povelitel mukh [Podarochnoe izdanie],Uilyam Golding,7.11,95
16751,To Kill a Mockingbird [Podarochnoe izdanie],Harper Lee,8.18,15
16752,Zavodnoy apelsin [Podarochnoe izdanie],Entoni Byordzhess,7.29,100
16753,Proletaya nad gnezdom kukushki [Podarochnoe izdanie],Ken Kizi,8.36,48
16754,Boynya nomer pyat [Podarochnoe izdanie],Kurt Vonnegut,7.29,83
16755,Kolybel dlya koshki [Podarochnoe izdanie],Kurt Vonnegut,7.11,51
16756,One Hundred Years of Solitude [Podarochnoe izdanie],Gabriel Garcia Marquez,9.42,16
16757,Lyubov vo vremya chumy [Podarochnoe izdanie],Gabriel Garcia Marquez,9.07,94
16758,Khronika obyavlennoy smerti [Podarochnoe izdanie],Gabriel Garcia Marquez,6.04,34
16759,Igra v klassiki [Podarochnoe izdanie],Khulio Kortasar,9.96,10
16760,Vymysly [Podarochnoe izdanie],Khorkhe Luis Borkhes,7.47,9
16761,Alef [Podarochnoe izdanie],Khorkhe Luis Borkhes,7.29,9
16762,Pedofil (Lolita) [Podarochnoe izdanie],Vladimir Nabokov,8.71,64
16763,Zashchita Luzhina [Podarochnoe izdanie],Vladimir Nabokov,7.64,92
16764,Priglashenie na kazn [Podarochnoe izdanie],Vladimir Nabokov,7.47,90
16765,"Khobbit, ili Tuda i obratno [Podarochnoe izdanie]",Dzh. R. R. Tolkin,8.00,97
16766,Vlastelin kolets: Bratstvo Koltsa [Podarochnoe izdanie],Dzh. R. R. Tolkin,11.02,93
16767,Vlastelin kolets: Dve kreposti [Podarochnoe izdanie],Dzh. R. R. Tolkin,11.02,53
16768,Vlastelin kolets: Vozvrashchenie korolya [Podarochnoe izdanie],Dzh. R. R. Tolkin,11.56,2
16769,Silmarillion [Podarochnoe izdanie],Dzh. R. R. Tolkin,10.31,1
16770,"Khroniki Narnii: Lev, koldunya i platyanoy shkaf [Podarochnoe izdanie]",K. S. Lyuis,6.93,95
16771,Dyuna [Podarochnoe izdanie],Frenk Gerbert,12.09,69
16772,Messiya Dyuny [Podarochnoe izdanie],Frenk Gerbert,9.24,77
16773,Deti Dyuny [Podarochnoe izdanie],Frenk Gerbert,9.78,19
16774,Osnovanie [Podarochnoe izdanie],Ayzek Azimov,8.53,12
16775,"Ya, Robot [Podarochnoe izdanie]",Ayzek Azimov,7.47,94
16776,Solyaris [Podarochnoe izdanie],Stanislav Lem,7.64,75
16777,Nepobedimyy [Podarochnoe izdanie],Stanislav Lem,7.29,50
16778,Piknik na obochine [Podarochnoe izdanie],Arkadiy i Boris Strugatskie,7.47,24
16779,Trudno byt bogom [Podarochnoe izdanie],Arkadiy i Boris Strugatskie,6.93,77
16780,Ponedelnik nachinaetsya v subbotu [Podarochnoe izdanie],Arkadiy i Boris Strugatskie,7.29,39
16781,Obitaemyy ostrov [Podarochnoe izdanie],Arkadiy i Boris Strugatskie,8.18,100
16782,Avtostopom po galaktike [Podarochnoe izdanie],Duglas Adams,6.76,41
16783,Neyromant [Podarochnoe izdanie],Uilyam Gibson,8.00,54
16784,Mechtayut li androidy ob elektroovtsakh? [Podarochnoe izdanie],Filip K. Dik,7.47,65
16785,Chelovek v vysokom zamke [Podarochnoe izdanie],Filip K. Dik,7.82,95
16786,Garri Potter i filosofskiy kamen [Podarochnoe izdanie],Dzh. K. Rouling,9.78,2
16787,Garri Potter i Taynaya komnata [Podarochnoe izdanie],Dzh. K. Rouling,9.96,38
16788,Garri Potter i uznik Azkabana [Podarochnoe izdanie],Dzh. K. Rouling,10.31,35
16789,Garri Potter i Kubok ognya [Podarochnoe izdanie],Dzh. K. Rouling,12.27,58
16790,Garri Potter i Orden Feniksa [Podarochnoe izdanie],Dzh. K. Rouling,13.33,25
16791,Garri Potter i Prints-polukrovka [Podarochnoe izdanie],Dzh. K. Rouling,12.62,12
16792,Garri Potter i Dary Smerti [Podarochnoe izdanie],Dzh. K. Rouling,13.87,33
16793,Igra prestolov [Podarochnoe izdanie],Dzhordzh R. R. Martin,12.80,83
16794,Bitva koroley [Podarochnoe izdanie],Dzhordzh R. R. Martin,13.16,73
16795,Burya mechey [Podarochnoe izdanie],Dzhordzh R. R. Martin,14.40,60
16796,Pir stervyatnikov [Podarochnoe izdanie],Dzhordzh R. R. Martin,13.87,48
